GROUP	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	AstReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	KokReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	SemReg	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstNis	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg	UstReg
k_Bacteria|p_Elusimicrobiota|c_Elusimicrobia|o_Elusimicrobiales|f_Elusimicrobiaceae|g_Elusimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes	1	6651	2002	32	28	32	1117	3	446	92	1	8	219	2	20	3778	11	3090	2	0	265	696	0	7	1472	5091	49	552	1294	81	2375	167	4451	0	14	0	507	145	24	7	10	1	135	15	4	38	3	0	4	2	1857	0	7	0	533	33	0	3537	74	1201	1360	0	295	997	1733	0	579	0	0	0	700	4767	74	1419	418	0	49	10844	1	0	0	99	309	0	873	49	2	47	24	1	9	127	0	0	1	3542	382	13	44	0	385	16	3178	852	748	0	653	2529	3228	0	0	120	0	101	0	0	4	1	102	0	1743	0	402	51	1	2089	940	107	7	1848	64	77	2	906	116	417	2382	1	367	23	757	2271	1960	769	262	1253	172	535	82	0	1600	3041	3597	247	7	1165	404	111	839	0	413	3	1	1006	625	509	424	1377	953	163	1456	391	1763	542	35	249	433	184	12409	1678	3392	378	1170	825	126	200	916	14832	1392	160	3755	789	4604	6065	95	2227	11093	312	374	1	20	18	1442	2344	979	254	3	320	1	60	3	11145	71	384	3439	0	1541	3842	0	0	482	337	1376	250	275	4	2351	417	30	58	4460	116	0	280	159	0	13	4662	1	1461	832	5654	37	2	217	427	9	364	21	0	2	298	24	9	464	1769	314	141	109	60	665	3	6	259	125	399	1311	14707	394	0	171	317	0	0	252	1512	5	523	31	1820	5	729	21	2248	17	59	487	4579	561	51	38	60	50	2735	603	273	1821	283	532	1287	133	12	40	191	74	85	2	0	3	0	259	125	1218	609	72	57	22	220	4	1	76	143	131	271	322	292	296	418	17	14	72	2	4	93	40	881	492	32	471	117	67	751	473	169	7	0	80	66	2	2	127	3	70	1073	294	10	7	0	223	55	284	4	1	1	154	15	0	0	3	193	12	7	10	0	52	16	43	77	5	1	116	0	1	3	204	4	11	6471	566	97	0	141	13	1	89	0	75	0	4	0	37	1495	2	1	3	2
k_Bacteria|p_Firmicutes|c_Bacilli	0	2	4	0	1	0	3	0	0	2	0	0	15	0	0	0	0	11	0	0	0	3	0	0	0	1	0	13	0	0	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	112	0	0	0	3	0	0	0	0	0	9	10	0	0	16	0	2	12	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	25	0	0	0	0	1	0	9	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	1	0	1	0	17	0	1	0	0	6	0	0	0	16	1	3	2	0	28	0	32	2	0	2	0	4	4	0	0	6	0	151	0	0	0	0	55	3	14	1	0	2	299	12	1	0	15	0	34	17	0	3	3	3	6	2	0	0	3	20	138	9	0	17	0	2	0	0	474	0	9	6	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	7	0	0	8	0	61	114	45	0	3	9	0	1	4	8	0	0	0	0	0	3	0	0	0	9	0	0	1	6	0	7	0	0	0	0	0	0	0	0	1	2	1	0	9	0	4	0	0	0	2	1	12	0	0	0	0	0	0	2	0	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	7	0	17	0	0	2	0	0	0	2	2	1	1	0	0	4	1	2	1	0	0	0	0	11	1	0	27	0	3	3	0	0	0	0	1	1	0	0	2	0	1	10	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Anoxybacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	11	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	3	2	0	1	0	0	0	0	2	0	1	0	0	6	0	1	0	0	0	0	3	2	2	0	1	2	2	0	8	0	4	1	2	0	0	1	2	1	0	0	2	4	0	1	0	0	0	0	0	0	3	0	3	0	0	0	1	3	0	4	1	0	0	0	1	0	0	0	0	0	0	1	3	0	0	9	6	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	0	0	4	0	1	0	1	0	1	0	0	7	0	3	3	1	0	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	4	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	3	1	1	0	0	3	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	5	0	0	0	7	0	0	0	0	3	0	0	0	0	11	0	2	1	0	2	3	0	0	0	8	0	0	6	5	0	0	11	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Planomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelatoclostridiaceae|g_Asteroleplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelatoclostridiaceae|g_Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	0	0	0	2	5	0	2	0	0	0	0	4	23	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	1	0	0	3	0	17	0	0	1	11	9	0	0	0	1	0	0	4	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelatoclostridiaceae|g_Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelatoclostridiaceae|g_Eggerthia	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	2	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelatoclostridiaceae|g_Erysipelotrichaceae UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
