GROUP	g_Actinomyces	g_Fusobacterium	g_Gemella	g_Haemophilus	g_Leptotrichia	g_Neisseria	g_Rothia	g_Streptococcus	g_Veillonella	noHit
AstReg	2.765520699483674	3.5258398782289375	5.841510992727015	1.9305646022475038	3.0566256825429154	3.3448119288480003	2.83225590459739	54.08429028817092	2.244671245565036	20.37390877758861
KokReg	4.526284892036296	9.5205432229568	6.538863366588372	1.2755559984836295	5.467461487545484	2.093904653682175	1.478171288656791	57.60681256132409	3.8556662299335036	7.636736298792844
SemReg	1.3481249750079372	1.1109309590984588	8.911962418530718	0.980107009421543	1.5135477411655625	4.490463048665521	1.4016106226707306	53.701976395057635	1.544196446242305	24.99708038413958
UstNis	1.8838351010911512	2.536922624003549	6.469712669177849	4.64935526493956	2.074525653406626	5.321083463266283	3.843781703138407	53.97265122432909	1.5776931183289329	17.67043917831855
UstReg	2.6892438197654127	1.1759768657918435	6.046324905254388	1.3347135489761224	0.9836436516830687	4.074964391128766	2.769738379457578	54.271680399514885	1.2870224399235386	25.3666915985044
