GROUP	g_Actinomyces	g_Fusobacterium	g_Gemella	g_Haemophilus	g_Leptotrichia	g_Neisseria	g_Rothia	g_Streptococcus	g_Veillonella	o_Lactobacillales
AstReg	3.296766579373885	4.599349019732013	7.300039731214847	2.277781366829849	3.6662502811416524	3.9931485603031738	3.2392579926888923	67.01621128569562	3.1230573278479654	1.4881378551721085
KokReg	4.769385198190028	9.988588230306476	6.9796058497406275	1.3306333077790484	5.729467130744928	2.265175342185886	1.5896587714603585	61.65404383046218	4.053174315530441	1.6402680236000198
SemReg	1.7311960132271007	1.447260828970891	11.712217774479521	1.211300187425031	1.9185255458568196	5.932807425412323	1.7945424042120854	69.86494239130361	1.9729503204431693	2.4142571086694464
UstNis	2.292631817400685	2.8484931430435982	7.572797681075389	5.857510935004292	2.330130564430226	6.913925785506554	4.9342775317247085	62.391063561702374	1.782284244110786	3.0768847360014004
UstReg	3.335435956495874	1.4979020027878087	7.941363850246966	1.9757980536575455	1.2341701695413672	5.566186097903873	3.881800474141464	70.49274230641068	1.8627598190438455	2.2118412697705807
