	AstReg	KokReg	SemReg	UstNis	UstReg
AstReg	1.0	0.0035	0.9914	0.4951	0.9998
KokReg	0.0035	1.0	0.0077	0.6276	0.1262
SemReg	0.9914	0.0077	1.0	0.4003	0.9877
UstNis	0.4951	0.6276	0.4003	1.0	0.8248
UstReg	0.9998	0.1262	0.9877	0.8248	1.0
