ID	GROUP
11593	1
11596	1
12001	2
12002	2
12004	2
12006	2
12007	2
12008	2
12009	2
12010	2
12011	2
12013	2
12019	2
12020	2
12022	2
12023	2
12025	2
12026	2
12028	2
12030	2
12032	2
12033	2
12036	2
12037	2
12040	2
12041	2
12042	2
12044	2
12045	2
12046	2
12047	2
12055	2
12057	2
12059	2
12060	2
12063	2
12064	2
12066	2
12070	2
12072	2
12073	2
12074	2
12077	2
12078	2
12080	2
12081	2
12085	2
12087	2
12088	2
12090	2
12091	2
12093	2
12094	2
12095	2
12096	2
12097	2
12098	2
12099	2
12100	2
12101	2
12102	2
12107	2
12108	2
12110	2
12111	2
12112	2
12113	2
12114	2
12115	2
12117	2
12119	2
12120	2
12123	2
12124	2
12125	2
12129	2
12131	2
12132	2
12134	2
12138	2
12140	2
12145	2
12148	2
12151	2
12152	2
12155	2
12161	2
12162	2
12164	2
12172	2
12180	2
12182	2
12183	2
12185	2
12186	2
12187	2
12189	2
12190	2
12191	2
12192	2
12196	2
12198	2
12199	2
12200	2
12203	2
12204	2
12205	2
12206	2
12208	2
12212	2
12213	2
12214	2
12215	2
12216	2
12217	2
12218	2
12219	2
12220	2
12221	2
12226	2
12227	2
12229	2
12230	2
12234	2
12236	2
12237	2
12238	2
12239	2
12240	2
12242	2
12246	2
12247	2
12248	2
12249	2
12251	2
12253	2
12257	2
12260	2
12297	2
21002	3
21003	3
21014	3
21016	3
21017	3
21022	3
22001	4
22003	4
22004	4
22006	4
22007	4
22008	4
22009	4
22010	4
22012	4
22016	4
22017	4
22018	4
22021	4
22022	4
22024	4
22025	4
22026	4
22029	4
22030	4
22032	4
22033	4
22034	4
22042	4
22044	4
22046	4
22047	4
22048	4
22050	4
22051	4
22052	4
22053	4
22054	4
22055	4
22059	4
22060	4
22084	4
22091	4
22094	4
22095	4
22097	4
22099	4
22100	4
22103	4
22106	4
22108	4
22110	4
22111	4
22112	4
22115	4
22120	4
22122	4
22132	4
22137	4
22140	4
22148	4
22152	4
22158	4
22159	4
22242	4
22284	4
22287	4
22289	4
22291	4
22292	4
22294	4
22295	4
22296	4
22297	4
22298	4
22302	4
22303	4
22305	4
22306	4
22307	4
22308	4
22310	4
22311	4
22313	4
22315	4
22316	4
22317	4
22318	4
22319	4
22320	4
22322	4
22323	4
22324	4
22326	4
22330	4
22331	4
22332	4
22333	4
22338	4
22339	4
22400	4
22401	4
22404	4
22405	4
22406	4
22407	4
22409	4
22411	4
31079	5
31080	5
31082	5
31083	5
31084	5
31092	5
31108	5
32026	6
32056	6
32057	6
32062	6
32066	6
32068	6
32069	6
32072	6
32075	6
32077	6
32078	6
32082	6
32083	6
32084	6
32085	6
32086	6
32088	6
32089	6
32093	6
32094	6
32095	6
32097	6
32098	6
32100	6
32101	6
32104	6
32105	6
32106	6
32108	6
32109	6
32110	6
32112	6
32113	6
32115	6
32118	6
32128	6
32129	6
32131	6
32132	6
32133	6
32134	6
32136	6
32138	6
32140	6
32141	6
32142	6
32143	6
32144	6
32145	6
32147	6
32168	6
32169	6
32170	6
32177	6
32185	6
32186	6
32188	6
32189	6
32191	6
32192	6
32196	6
32197	6
32266	6
41001	7
41002	7
41006	7
41007	7
41008	7
41012	7
41013	7
41015	7
41034	7
41036	7
41037	7
41040	7
41042	7
41044	7
41048	7
41054	7
41055	7
41056	7
41059	7
41060	7
41061	7
41062	7
41063	7
41066	7
41067	7
41068	7
41069	7
41070	7
41071	7
41072	7
41073	7
41074	7
41075	7
41076	7
41077	7
41079	7
41080	7
41082	7
41085	7
41087	7
41088	7
41089	7
41092	7
41094	7
41096	7
41097	7
41098	7
41102	7
41105	7
41107	7
41112	7
41118	7
41119	7
41121	7
41122	7
41124	7
41126	7
41127	7
41128	7
41131	7
41132	7
41133	7
41134	7
41135	7
41136	7
41137	7
41140	7
41141	7
41144	7
41147	7
41157	7
41159	7
41160	7
41161	7
41166	7
41167	7
41168	7
41190	7
41191	7
41193	7
41194	7
41195	7
41211	7
41212	7
41213	7
41214	7
41217	7
41221	7
41223	7
41226	7
41247	7
41248	7
41250	7
41251	7
41254	7
41255	7
41257	7
41258	7
41261	7
41262	7
41264	7
41265	7
41267	7
41269	7
41270	7
41271	7
41272	7
41273	7
41276	7
41277	7
41283	7
41284	7
41288	7
41290	7
41303	7
41309	7
41311	7
41313	7
41316	7
41322	7
41323	7
42004	8
42006	8
42007	8
42008	8
42009	8
42011	8
42014	8
42015	8
42019	8
42020	8
42022	8
42023	8
42027	8
42028	8
42032	8
42033	8
42034	8
43010	8
43016	8
43017	8
43024	8
43026	8
43028	8
43029	8
43031	8
43046	8
43047	8
43048	8
43050	8
43051	8
43059	8
43060	8
43061	8
43062	8
43065	8
43066	8
43067	8
43068	8
43071	8
43075	8
43078	8
